Player Name,Building Type,Grid X,Grid Y,Game X,Game Y,Level,Rotation,Notes
"Jaan Olev (YourName_R5)","hq-marshal","23","23","223","223","30","0","""DO NOT ATTACK - bait trap"""
"OfficerMike","hq-r4","23","18","223","218","25","0","""Watches for rallies from north"""
"R4 East","hq-r4","28","23","228","223","25","0","""First responder to east attacks"""
"GeneralSara","hq-r4","23","28","223","228","25","0",""
"R4 West","hq-r4","18","23","218","223","25","0",""
"DragonSlayer99","hq","19","15","219","215","20","90","""New player, protect him"""
"WarriorQueen","hq","26","15","226","215","20","0",""
"NightHawk","hq","31","20","231","220","20","0",""
"Member 4","hq","31","26","231","226","20","0",""
"Member 5","hq","26","31","226","231","20","0",""
"Member 6","hq","20","31","220","231","20","0",""
"Member 7","hq","15","26","215","226","20","0",""
"Member 8","hq","14","18","214","218","18","0",""
"","tower-antiair","21","21","221","221","15","0",""
"","tower-antiair","26","21","226","221","15","0",""
"","tower-antiair","21","26","221","226","15","0",""
"","tower-antiair","26","26","226","226","15","0",""
