Player Name,Building Type,Grid X,Grid Y,Game X,Game Y,Level,Rotation,Notes
"R5 Marshal","hq-marshal","23","23","423","443","30","0",""
"R4 North","hq-r4","23","18","423","438","25","0",""
"R4 East","hq-r4","28","23","428","443","25","0",""
"R4 South","hq-r4","23","28","423","448","25","0",""
"R4 West","hq-r4","18","23","418","443","25","0",""
"Member 1","hq","20","15","420","435","20","0",""
"Member 2","hq","26","15","426","435","20","0",""
"John Smith","hq","31","15","431","435","20","90","My task is to take over!"
"Member 4","hq","31","26","431","446","20","0",""
"Member 5","hq","26","31","426","451","20","0",""
"Member 6","hq","20","31","420","451","20","0",""
"Member 7","hq","15","26","415","446","20","0",""
"Member 8","hq","15","20","415","440","20","0",""
"","tower-antiair","21","21","421","441","15","0",""
"","tower-antiair","26","21","426","441","15","0",""
"","tower-antiair","21","26","421","446","15","0",""
"","tower-antiair","26","26","426","446","15","0",""
