Player Name,Building Type,Grid X,Grid Y,Game X,Game Y,Level,Rotation,Notes
"R5 Marshal","hq-marshal","23","23","423","423","30","0",""
"","wall","22","22","422","422","1","0",""
"","wall","23","22","423","422","1","0",""
"","wall","24","20","424","420","1","0",""
"John Smith","wall","25","22","425","422","1","180","Some stuff here!"
"","wall","26","22","426","422","1","0",""
"","wall","26","23","426","423","1","0",""
"","wall","26","24","426","424","1","0",""
"","wall","26","25","426","425","1","0",""
"","wall","26","26","426","426","1","0",""
"","wall","25","26","425","426","1","0",""
"","wall","24","26","424","426","1","0",""
"","wall","23","26","423","426","1","0",""
"","wall","22","26","422","426","1","0",""
"","wall","22","25","422","425","1","0",""
"","wall","22","24","422","424","1","0",""
"","wall","22","23","422","423","1","0",""
"R4 NW","hq-r4","20","20","420","420","25","0",""
"R4 NE","hq-r4","27","20","427","420","25","0",""
"R4 SE","hq-r4","27","27","427","427","25","0",""
"R4 SW","hq-r4","20","27","420","427","25","0",""
